"Div","HomeTeam","AwayTeam","FTHG","FTAG"
"B1","Club Brugge","Charleroi",2,0
"B1","Bergen","Cercle Brugge",1,1
"B1","Genk","Oostende",3,0
"B1","Kortrijk","Oud-Heverlee Leuven",1,0
"B1","Lierse","Waregem",1,2
"B1","Waasland-Beveren","Gent",1,1
"B1","Anderlecht","Lokeren",2,3
"B1","Mechelen","Standard",0,2
"B1","Cercle Brugge","Anderlecht",0,4
"B1","Charleroi","Waasland-Beveren",1,1
"B1","Lokeren","Bergen",2,1
"B1","Oud-Heverlee Leuven","Genk",1,4
"B1","Waregem","Kortrijk",1,0
"B1","Gent","Mechelen",2,1
"B1","Oostende","Club Brugge",1,2
"B1","Standard","Lierse",3,0
"B1","Kortrijk","Lokeren",3,3
"B1","Bergen","Charleroi",1,2
"B1","Lierse","Cercle Brugge",1,1
"B1","Oostende","Oud-Heverlee Leuven",1,1
"B1","Waasland-Beveren","Mechelen",0,0
"B1","Anderlecht","Gent",4,1
"B1","Club Brugge","Waregem",1,1
"B1","Genk","Standard",0,2
"B1","Cercle Brugge","Oostende",2,0
"B1","Charleroi","Kortrijk",1,2
"B1","Gent","Lierse",2,1
"B1","Lokeren","Genk",3,1
"B1","Mechelen","Club Brugge",1,2
"B1","Waregem","Bergen",2,0
"B1","Standard","Oud-Heverlee Leuven",1,0
"B1","Waasland-Beveren","Anderlecht",0,3
"B1","Kortrijk","Mechelen",1,2
"B1","Lierse","Waasland-Beveren",1,0
"B1","Oud-Heverlee Leuven","Lokeren",2,1
"B1","Anderlecht","Charleroi",5,2
"B1","Bergen","Standard",0,2
"B1","Club Brugge","Gent",1,1
"B1","Genk","Cercle Brugge",1,0
"B1","Oostende","Waregem",1,1
"B1","Cercle Brugge","Oud-Heverlee Leuven",1,1
"B1","Gent","Bergen",1,0
"B1","Lokeren","Oostende",1,0
"B1","Mechelen","Lierse",0,0
"B1","Charleroi","Genk",1,1
"B1","Standard","Kortrijk",2,0
"B1","Waasland-Beveren","Club Brugge",1,2
"B1","Waregem","Anderlecht",4,3
"B1","Anderlecht","Mechelen",5,0
"B1","Bergen","Waasland-Beveren",1,1
"B1","Club Brugge","Lierse",4,1
"B1","Kortrijk","Gent",3,0
"B1","Lokeren","Cercle Brugge",3,0
"B1","Oud-Heverlee Leuven","Charleroi",0,0
"B1","Genk","Waregem",5,2
"B1","Oostende","Standard",2,4
"B1","Charleroi","Cercle Brugge",2,0
"B1","Gent","Oostende",1,1
"B1","Lierse","Kortrijk",2,0
"B1","Mechelen","Bergen",4,2
"B1","Club Brugge","Anderlecht",4,0
"B1","Standard","Lokeren",2,1
"B1","Waasland-Beveren","Genk",0,0
"B1","Waregem","Oud-Heverlee Leuven",4,2
"B1","Bergen","Club Brugge",0,1
"B1","Genk","Mechelen",1,0
"B1","Kortrijk","Waasland-Beveren",2,1
"B1","Lokeren","Waregem",2,4
"B1","Oostende","Charleroi",1,0
"B1","Oud-Heverlee Leuven","Gent",1,1
"B1","Anderlecht","Lierse",2,0
"B1","Cercle Brugge","Standard",0,5
"B1","Charleroi","Lokeren",2,1
"B1","Club Brugge","Oud-Heverlee Leuven",1,0
"B1","Lierse","Bergen",2,1
"B1","Mechelen","Cercle Brugge",1,2
"B1","Waasland-Beveren","Oostende",2,0
"B1","Anderlecht","Kortrijk",0,1
"B1","Gent","Genk",1,2
"B1","Waregem","Standard",1,0
"B1","Bergen","Anderlecht",0,2
"B1","Cercle Brugge","Waregem",1,1
"B1","Genk","Lierse",4,0
"B1","Lokeren","Gent",2,2
"B1","Oostende","Mechelen",0,3
"B1","Oud-Heverlee Leuven","Waasland-Beveren",4,2
"B1","Kortrijk","Club Brugge",4,1
"B1","Standard","Charleroi",2,2
"B1","Gent","Cercle Brugge",1,1
"B1","Bergen","Kortrijk",0,1
"B1","Lierse","Oostende",0,2
"B1","Mechelen","Oud-Heverlee Leuven",4,2
"B1","Waasland-Beveren","Lokeren",0,2
"B1","Anderlecht","Standard",1,1
"B1","Club Brugge","Genk",0,2
"B1","Waregem","Charleroi",1,1
"B1","Charleroi","Mechelen",2,2
"B1","Genk","Kortrijk",1,0
"B1","Lokeren","Lierse",1,0
"B1","Oostende","Anderlecht",0,3
"B1","Oud-Heverlee Leuven","Bergen",2,2
"B1","Waregem","Gent",3,2
"B1","Cercle Brugge","Club Brugge",2,0
"B1","Standard","Waasland-Beveren",2,2
"B1","Anderlecht","Oud-Heverlee Leuven",3,1
"B1","Bergen","Genk",2,3
"B1","Kortrijk","Oostende",2,0
"B1","Lierse","Charleroi",2,1
"B1","Mechelen","Waregem",2,2
"B1","Club Brugge","Lokeren",1,0
"B1","Gent","Standard",0,1
"B1","Waasland-Beveren","Cercle Brugge",0,1
"B1","Lokeren","Mechelen",4,0
"B1","Cercle Brugge","Kortrijk",3,1
"B1","Charleroi","Gent",0,1
"B1","Oostende","Bergen",2,0
"B1","Oud-Heverlee Leuven","Lierse",2,0
"B1","Genk","Anderlecht",0,1
"B1","Standard","Club Brugge",0,0
"B1","Waregem","Waasland-Beveren",2,0
"B1","Cercle Brugge","Lierse",2,4
"B1","Charleroi","Anderlecht",2,1
"B1","Gent","Waasland-Beveren",2,0
"B1","Oostende","Genk",4,0
"B1","Oud-Heverlee Leuven","Kortrijk",1,1
"B1","Waregem","Mechelen",3,1
"B1","Lokeren","Club Brugge",0,3
"B1","Standard","Bergen",1,0
"B1","Bergen","Lokeren",1,0
"B1","Club Brugge","Oostende",2,0
"B1","Mechelen","Gent",0,1
"B1","Waasland-Beveren","Charleroi",0,0
"B1","Anderlecht","Cercle Brugge",2,1
"B1","Genk","Oud-Heverlee Leuven",3,0
"B1","Kortrijk","Waregem",1,1
"B1","Lierse","Standard",0,5
"B1","Anderlecht","Waasland-Beveren",2,0
"B1","Bergen","Waregem",1,1
"B1","Club Brugge","Mechelen",3,0
"B1","Kortrijk","Charleroi",1,1
"B1","Lierse","Gent",1,3
"B1","Oostende","Cercle Brugge",2,0
"B1","Genk","Lokeren",0,2
"B1","Oud-Heverlee Leuven","Standard",0,0
"B1","Cercle Brugge","Bergen",2,1
"B1","Lokeren","Kortrijk",0,0
"B1","Mechelen","Waasland-Beveren",0,0
"B1","Oud-Heverlee Leuven","Oostende",1,2
"B1","Charleroi","Club Brugge",2,2
"B1","Gent","Anderlecht",1,2
"B1","Standard","Genk",3,1
"B1","Waregem","Lierse",3,0
"B1","Cercle Brugge","Genk",1,0
"B1","Charleroi","Bergen",0,2
"B1","Lokeren","Oud-Heverlee Leuven",2,0
"B1","Mechelen","Kortrijk",5,2
"B1","Waasland-Beveren","Lierse",3,1
"B1","Waregem","Oostende",2,2
"B1","Gent","Club Brugge",1,3
"B1","Standard","Anderlecht",1,1
"B1","Anderlecht","Waregem",1,0
"B1","Bergen","Gent",1,0
"B1","Club Brugge","Waasland-Beveren",1,2
"B1","Genk","Charleroi",0,3
"B1","Lierse","Mechelen",3,0
"B1","Oostende","Lokeren",0,3
"B1","Oud-Heverlee Leuven","Cercle Brugge",3,0
"B1","Kortrijk","Standard",1,5
"B1","Cercle Brugge","Lokeren",0,3
"B1","Charleroi","Oud-Heverlee Leuven",2,0
"B1","Gent","Kortrijk",0,1
"B1","Lierse","Club Brugge",1,1
"B1","Standard","Oostende",2,0
"B1","Waasland-Beveren","Bergen",4,1
"B1","Mechelen","Anderlecht",2,1
"B1","Waregem","Genk",1,0
"B1","Lokeren","Standard",0,1
"B1","Bergen","Mechelen",0,2
"B1","Cercle Brugge","Charleroi",3,0
"B1","Kortrijk","Lierse",3,4
"B1","Oostende","Waasland-Beveren",2,1
"B1","Oud-Heverlee Leuven","Waregem",1,0
"B1","Anderlecht","Club Brugge",2,0
"B1","Genk","Gent",1,2
"B1","Lierse","Anderlecht",2,0
"B1","Charleroi","Oostende",0,1
