"ID";"very likely";"maybe";"not sure";"good chances";"improbable";"almost surely";"unlikely";"I doubt it";"almost no chance";"the chances are small";"I strongly believe";"probably";"I'm sure"
1;90;50;20;60;0;95;30;40;10;5;85;80;95
2;80;20;20;70;5;99;10;30;5;15;80;60;80
3;95;50;30;80;0;80;30;50;1;10;90;80;100
4;90;50;25;70;1;95;15;10;5;10;85;85;99
5;80;40;50;60;1;95;5;15;1;20;90;75;95
6;85;55;50;80;20;99;20;35;1;10;80;75;90
7;90;50;20;70;0;95;10;30;1;5;90;80;95
8;90;60;30;60;5;95;15;10;10;10;90;90;98
9;90;60;50;70;10;95;20;20;20;33;70;70;90
10;80;50;20;70;0;90;10;5;1;10;85;80;90
11;90;55;45;70;30;95;20;30;5;10;70;60;80
12;90;50;0;75;0;99;10;50;1;20;95;70;100
13;80;40;15;70;5;90;20;35;1;10;85;75;85
14;90;50;50;80;0;99;20;30;1;20;90;70;100
15;90;60;50;75;15;95;30;40;5;25;80;70;65
16;90;50;50;75;10;99;5;20;1;5;80;70;95
17;85;60;30;75;0;90;20;10;5;25;85;75;90
18;90;33;25;75;0;99;10;5;2;5;95;75;100
19;100;50;50;75;0;90;60;25;15;5;80;80;100
20;90;60;50;80;1;98;45;25;5;10;80;75;95
21;90;50;50;80;0;95;10;10;1;20;90;75;100
22;90;30;40;65;1;95;10;25;5;15;80;70;85
23;95;60;40;75;1;95;10;20;3;8;80;70;85
24;95;50;20;70;1;99;5;10;1;5;90;80;85
25;90;50;50;70;0;95;20;10;5;10;80;60;100
26;90;50;30;70;1;99;10;10;5;10;95;90;99
27;90;50;50;65;0;99;20;5;1;5;95;70;100
28;90;1;52;80;0;99;5;15;1;12;85;75;100
29;85;65;30;70;0;95;10;25;5;20;90;70;100
30;90;30;10;70;0;95;20;20;10;20;80;70;95
31;90;50;10;80;0;95;20;50;10;10;90;50;100
